카테고리,커넥터 수,Standard,Premium,에듀올랩 높음,에듀올랩 중간,에듀올랩 낮음
AI·ML,13,0,13,5,4,4
CRM·영업,10,0,10,0,0,10
Dynamics 365,9,0,9,0,1,8
ERP·재무,14,0,14,0,0,14
Google Workspace,10,8,2,1,1,8
HR·채용,11,0,11,0,0,11
Microsoft 365,25,24,1,11,8,6
Microsoft Azure,21,1,20,1,4,16
개발자 도구,13,1,12,0,0,13
교육·LMS,10,2,8,5,4,1
기타,43,15,28,8,3,32
데이터·분석,15,1,14,1,3,11
마케팅,12,0,12,0,0,12
생산성,16,2,14,1,6,9
소셜 미디어,8,1,7,0,0,8
양식·설문,10,2,8,1,3,6
일정·시간,8,2,6,0,2,6
전자상거래,9,0,9,0,0,9
전자서명·문서,10,0,10,0,5,5
커뮤니케이션,25,3,22,0,5,20
통합·개발,12,7,5,4,0,8
파일 저장소,9,1,8,0,2,7
전체 합계,313,70,243,38,51,224
