번호,카테고리,커넥터명 (영문),커넥터명 (한국어),등급,주요 트리거,주요 액션,"에듀올랩
적용가능성",설명
1,Microsoft 365,Office 365 Outlook,아웃룩 이메일,Standard,"새 이메일 수신, 이메일 플래그, 캘린더 이벤트","이메일 전송, 이벤트 생성, 연락처 관리, 일정 조회",높음,이메일·캘린더·연락처 통합 관리
2,Microsoft 365,Microsoft Teams,MS 팀즈,Standard,"새 메시지, 채널 멘션, 회의 시작","메시지 전송, 채널 생성, 회의 예약, 탭 추가",높음,팀 협업·채팅·회의 자동화
3,Microsoft 365,SharePoint,셰어포인트,Standard,"항목 생성/수정, 파일 업로드, 목록 변경","항목 생성·수정·삭제, 파일 업로드, 권한 관리",높음,문서·리스트·라이브러리 관리
4,Microsoft 365,OneDrive for Business,비즈니스 원드라이브,Standard,"파일 생성/수정, 폴더 변경","파일 업로드·다운로드·삭제·이동, 링크 공유",높음,비즈니스 클라우드 파일 저장소
5,Microsoft 365,Microsoft Forms,MS 폼즈,Standard,새 응답 제출,"양식 생성, 응답 조회, 응답 상세 가져오기",높음,설문·양식 자동화 처리
6,Microsoft 365,Excel Online (Business),엑셀 온라인 비즈니스,Standard,행 추가/수정,"행 추가·수정·삭제·조회, 표 관리, 워크시트 조회",높음,비즈니스 엑셀 데이터 자동화
7,Microsoft 365,Microsoft Planner,플래너,Standard,작업 생성/완료,"작업 생성·수정·삭제, 버킷 관리, 계획 조회",높음,팀 작업 계획 및 추적
8,Microsoft 365,Office 365 Users,오피스365 사용자,Standard,-,"사용자 프로필 조회, 관리자 정보, 부서원 조회",높음,조직 사용자 정보 조회
9,Microsoft 365,Approvals,승인,Standard,승인 요청 수신,"승인 요청 생성, 승인 결과 대기, 응답 처리",높음,문서·요청 승인 워크플로우
10,Microsoft 365,Notifications,알림,Standard,-,모바일 푸시 알림 전송,높음,Power Automate 앱 푸시 알림
11,Microsoft 365,Lists,리스트,Standard,항목 생성/수정,항목 생성·수정·삭제·조회,높음,Microsoft Lists 데이터 관리
12,Microsoft Azure,Azure OpenAI,Azure OpenAI,Premium,-,"텍스트 생성, 이미지 생성, 임베딩, 채팅 완성",높음,GPT 기반 AI 자동화
13,생산성,Notion,노션,Standard,페이지 생성/수정,"페이지 생성·수정·조회, DB 항목 관리",높음,노트·데이터베이스·지식 관리
14,데이터·분석,Power BI,파워 BI,Premium,데이터 새로고침 완료,"데이터셋 새로고침, 보고서 내보내기, 행 추가",높음,비즈니스 인텔리전스·데이터 시각화
15,Google Workspace,Google Classroom,구글 클래스룸,Standard,"과제 제출, 성적 게시","과제 관리, 성적 조회, 학생 관리",높음,교육 플랫폼 자동화 (에듀올랩 적합)
